Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-3,job_1,184,25.0535,32.3333,147515.008,6.6861,17.2189,18751553243.4286,245649199.4266,8,6
mid-cluster-3,job_2,334,41.5506,63.53,444092.8128,13.7916,21.858,30336946773.8505,86340927.1947,3,6
mid-cluster-3,job_3,274,44.7799,62.7458,392630.1632,13.0212,20.5849,26587967422.9841,934038589.1119,2,6
mid-cluster-3,job_4,1815,62.1778,85.8723,3611286.624,16.8547,21.8246,35408015386.4178,137308740.4344,2,6
