Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-3,job_1,184,29.7324,36.8267,175064.3712,8.4912,24.3077,20781204821.3333,247389870.2685,13,16
mid-cluster-3,job_2,274,40.9239,62.1708,358820.7552,18.1808,31.0083,46178591443.3016,104212991.0421,0,16
mid-cluster-3,job_3,243,33.245,47.6143,258513.12,17.5601,31.4945,53016066402.3365,921445160.6272,0,16
mid-cluster-3,job_4,1482,60.5758,84.6514,2872746.7392,23.9043,35.4834,54624986369.4542,166656195.6763,0,16
