Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-1,job_1,215,41.3944,52.9111,71198.368,16.1488,31.8957,11176200143.2381,144901702.0984,0,4
mid-cluster-1,job_2,697,53.9778,59.8,300980.2128,25.7699,31.3877,16177773558.2862,39110084.4198,0,4
mid-cluster-1,job_3,697,48.4627,50.4957,270228.0152,25.0483,31.6267,15155899117.5842,346578405.2677,0,4
mid-cluster-1,job_4,5227,65.6638,72.553,2745797.4608,28.7925,32.7644,16275854521.9754,44197558.0638,0,4
