Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-2,job_1,184,33.2546,37.8733,97901.5424,10.6334,28.9158,14401938022.4,203429199.5385,5,8
mid-cluster-2,job_2,425,44.2052,62.1026,300595.36,20.6922,32.6914,27407826888.8274,56110571.333,0,8
mid-cluster-2,job_3,425,47.3457,69.031,321950.76,21.5158,36.2529,26152550417.7316,581134439.2903,0,8
mid-cluster-2,job_4,2931,62.3389,86.9175,2923445.0544,25.3003,34.8371,28447710699.3354,81498354.0393,0,8
