Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-1,job_1,244,23.0762,40.7216,45044.7424,16.8059,38.2381,12242255872.0,109052696.9491,0,2
mid-cluster-1,job_2,1089,31.0292,43.9629,270326.3904,24.4103,29.5748,14485588997.5178,22358676.88,0,2
mid-cluster-1,job_3,1240,26.515,30.1217,263028.8,26.3398,27.9857,15724925835.2146,187215649.4477,0,2
mid-cluster-1,job_4,10449,34.004,72.3441,2842462.368,26.0532,40.198,15536345696.1625,22524655.914,0,2
