Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-2,job_1,214,26.5531,35.7778,90917.8144,11.7944,28.1511,16205393188.5714,170079410.2596,2,4
mid-cluster-2,job_2,576,28.1272,38.0407,259220.2752,21.5018,29.4066,25403384529.6083,42936217.355,0,4
mid-cluster-2,job_3,667,25.5651,50.7683,272830.7472,21.9211,37.2371,24608792722.2857,361538071.8879,0,4
mid-cluster-2,job_4,4441,32.673,38.6458,2321612.688,23.28,26.9433,25635851526.4733,53810702.5509,0,4
