Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-3,job_1,184,24.1801,32.4222,142372.4288,8.7795,27.9535,25769728702.1714,259982109.4866,6,8
mid-cluster-3,job_2,364,20.5,44.4788,238784.0,16.6262,25.7484,44052685178.6493,67133254.8894,0,8
mid-cluster-3,job_3,364,20.3533,42.3061,237075.2384,18.8423,57.4101,50604651027.6525,599636920.4232,0,8
mid-cluster-3,job_4,2418,31.2466,67.5844,2417736.9216,21.081,35.0168,47188137512.7182,100753458.5247,0,8
