Cluster Name,Job Name,Spend Time (s),AVG CPU (%),MAX CPU (%),Total vCPU Usage (s),AVG Memory Rate (%),MAX Memory Rate (%),Total Memory Usage (Byte),Network IO (Byte),Pending Executor,Running Executor
mid-cluster-2,job_1,184,29.5171,38.1039,86898.3424,9.8642,24.1876,13860418628.2667,210044782.8331,2,4
mid-cluster-2,job_2,395,49.6068,61.1889,313514.976,20.6871,27.0704,25079496427.1142,68345118.6428,0,4
mid-cluster-2,job_3,365,42.2686,47.7515,246848.624,18.5483,25.8093,23516247296.5172,608440924.8441,0,4
mid-cluster-2,job_4,2689,63.6668,72.7303,2739200.4032,23.0901,28.0686,25852816095.8652,93236851.6673,0,4
